artists,track_name,popularity,profile,pca_1,pca_2
Bad Omens,Nowhere To Go,63,Intenso y oscuro,1.0292,-1.1407
Gadget,Dedication,12,Intenso y oscuro,0.076,-2.8716
The Little Sunshine Kids,The Wheels on the Bus,66,Bailable y positivo,1.3701,2.4909
Krovostok,Амфибия,50,Bailable y positivo,0.7483,1.1113
Stephen Lynch,No Meat,24,Acústico y calmado,-1.8223,0.9156
Gustavo Santaolalla;Diego Luna,I Love You Too Much,59,Acústico y calmado,-2.1964,0.5066
Thirty Seconds To Mars,Closer To The Edge,60,Intenso y oscuro,0.5145,-1.2702
Tan Taşçı,Yalvarırım - Live,40,Acústico y calmado,-1.8198,0.3844
André Rieu;Johann Strauss Orchestra,That's Amore,22,Acústico y calmado,-1.6248,-0.4723
Sean Paul;Dua Lipa,No Lie,0,Bailable y positivo,1.5148,-0.0987
GAYLE;The Wild,abc - The Wild Remix,0,Bailable y positivo,1.6851,-0.033
Bloodywood,Machi Bhasad,47,Intenso y oscuro,1.3076,-0.5913
Ed Sheeran,How Would You Feel (Paean),0,Acústico y calmado,-0.7553,0.5694
Anupam Roy,Ghawrbaari,42,Acústico y calmado,-0.6796,0.7914
Andrea Bocelli,"Your Love (Once Upon A Time In The West) - Live At Central Park, New York / 2011",22,Acústico y calmado,-2.6956,-1.2064
Larry Heard,Riverside Drive,14,Bailable y positivo,-0.0805,0.4659
Novo Som,Infinitamente,26,Intenso y oscuro,-0.8576,-0.3625
Leman Sam,Ayrılığa Dayanamam,43,Acústico y calmado,-0.8766,1.5717
Arijit Singh,Sukoon Mila,65,Bailable y positivo,-0.5954,1.4308
Indochine,3e sexe - Mix 2020,23,Bailable y positivo,2.0481,0.983
Ownglow,All Black,16,Intenso y oscuro,-0.9252,-0.5251
Level 42,Something About You,31,Bailable y positivo,1.437,0.8789
Stuart Thompson,Dandy Man,26,Directo y hablado,1.4534,-0.9034
Sarah Meow;Shiloh,I Know You so Well,60,Acústico y calmado,-1.8029,1.9914
Lata Mangeshkar;Kishore Kumar,Dekha Ek Khwab - II,55,Acústico y calmado,-1.8671,0.2279
Floyd Cramer,You Win Again,15,Acústico y calmado,-2.2102,0.8069
Pendulum,Watercolour - Full Version; Single,58,Intenso y oscuro,0.4297,-1.8346
The Party Cats,Hampsterdance Song,11,Bailable y positivo,1.8181,-0.6749
XXXTENTACION,changes,44,Acústico y calmado,-1.1159,1.966
Edson Lima e Gatinha Manhosa,Leilão,43,Intenso y oscuro,0.8514,-0.2485
Vaundy,東京フラッシュ,66,Bailable y positivo,0.8195,0.62
Alfredo De Angelis;Oscar Larroca,En tus brazos,21,Directo y hablado,-0.3719,0.4379
"White Noise Meditation;Rain for Deep Sleep;Thunderstorm Sleep;Thunder Storm;Lightning, Thunder and Rain Storm;Thunderstorms",An Angry Thunderstorm,43,Intenso y oscuro,-1.8281,-2.6938
Don Omar;Lucenzo,Danza Kuduro,2,Bailable y positivo,2.0605,0.8032
Solteirões do Forró,Amo Você Quero Te Ter - Ao Vivo,38,Bailable y positivo,0.7606,0.6477
Porfi Baloa,Exitos Romanticos Porfi Baloa 1,30,Bailable y positivo,0.9301,0.3458
Aitana;Cali Y El Dandee,+,63,Bailable y positivo,0.7552,0.4529
Harris & Ford;ItaloBrothers,Weekend Party,0,Intenso y oscuro,0.2259,-0.0564
Dennis Doff,Gunz och choklad,27,Bailable y positivo,1.7892,1.5514
Hector Tricoche,Motorízame,28,Bailable y positivo,1.1014,1.8868
Cri-Cri,La Sirenita,32,Directo y hablado,-1.3941,-0.4322
Moving Fusion,The Beginning,18,Intenso y oscuro,0.506,-1.0801
Jax,Victoria’s Secret,17,Bailable y positivo,0.5987,0.4958
Tony O'Connor,Gagadju Life Force,24,Acústico y calmado,-3.8552,0.2365
GSoul,Natural,56,Acústico y calmado,-1.6152,0.417
Fantasy,Wovon träumst du denn,33,Intenso y oscuro,0.862,-0.1133
Teyana Taylor,Bare Wit Me,0,Bailable y positivo,0.4434,0.4795
Asspera,Cada Vez Más Pelotudos,22,Intenso y oscuro,1.2376,-1.0874
Aries,DITTO,54,Bailable y positivo,0.0486,0.8595
Farasat Anees;Toshi,Sanson Ki Mala - Radio Edit,38,Acústico y calmado,-1.3733,-1.1065
Samuel Kim,Moon Knight Theme,37,Directo y hablado,-1.2398,-2.552
Danny Chan;Bryan Choy Hin Lok;David Ling Jr,一生何求,20,Acústico y calmado,-0.5833,0.6409
GhostDragon;Daye,re-collide,41,Directo y hablado,0.2768,-1.5896
D.ACE,Petite sœur,32,Bailable y positivo,0.5427,0.4746
Ella Koon,地平線,41,Bailable y positivo,0.2721,1.4507
Nogizaka46,インフルエンサー,28,Bailable y positivo,0.6387,0.2351
Dub Pistols,Gave You Time,13,Bailable y positivo,-0.0031,0.6794
UMEK,Dark Market - Original Mix,38,Intenso y oscuro,-0.0119,-1.3496
Exaltasamba,Mais Que Amigo / Nuance / Acordar Com Você - Ao Vivo,40,Directo y hablado,0.7142,-0.331
W O L F C L U B,Can't Stop Falling in Love,37,Bailable y positivo,0.7683,0.1861
Roses & Frey,Dance Monkey,51,Acústico y calmado,-1.9306,1.2475
Gerry & The Pacemakers,You'll Never Walk Alone - Stereo; 1997 Remaster,55,Acústico y calmado,-0.9757,0.0739
Salebarbes,Marcher l'plancher - Live,42,Directo y hablado,0.93,-1.2439
Lushington;Felon,You Got Me Baby - Felon Remix,23,Bailable y positivo,1.6122,0.3723
Pandit Jasraj,Chanting of the Gayatri Mantra 108 Times,33,Acústico y calmado,-2.783,0.3536
Julien Bam;Vincent Lee,Ok Boomer,41,Bailable y positivo,2.4392,1.2638
Charlie Brown Jr.,Aquela Paz,37,Bailable y positivo,0.8162,0.3309
CoComelon,Skidamarink,41,Bailable y positivo,-0.2836,1.3827
Integral Rigor,Alast - Instrumental Version,1,Intenso y oscuro,-0.7489,-2.913
Charlie Puth,Light Switch,0,Bailable y positivo,1.7209,0.9954
Andy Hui;許慧欣,戀愛頻率,50,Intenso y oscuro,-0.2986,-0.0901
Siouxsie and the Banshees,Halloween,0,Intenso y oscuro,0.2728,-1.7639
Southern Structure,Between Thoughts,7,Intenso y oscuro,-0.775,-0.4391
Tha Playah;Evil Activities,Imperial,16,Bailable y positivo,1.2911,-0.168
Paolo Nutini,Sugar Man,9,Acústico y calmado,-0.9059,1.1249
ONYVAA;Mattia Trani;Dj Exos,Climax - Dj Exos remix 1,8,Intenso y oscuro,-0.0535,-1.5256
Mr.Children,箒星,32,Bailable y positivo,1.4717,0.0786
Mr Eazi,Personal Baby,54,Bailable y positivo,0.0836,0.2711
Masaharu Fukuyama,Heart (Original Version),34,Bailable y positivo,0.9865,0.3986
Patrick Brasca,Drinking On A Tuesday,45,Bailable y positivo,1.5422,0.8512
Radiohead,No Surprises,82,Intenso y oscuro,-1.3468,-0.9703
Karunesh,Vishnu,36,Acústico y calmado,-1.1134,0.8468
Ran-D;Gammer,Zombie - Gammer Flip,44,Directo y hablado,0.2493,-2.8065
V. Selvaganesh;Karthik;Chinmayi,Vizhigalile,47,Bailable y positivo,-0.2237,1.0444
Hi-STANDARD,"FIGHTING FISTS, ANGRY SOUL",34,Directo y hablado,1.548,-1.1932
Gowry Lekshmi,Athiru Kaakkum,36,Bailable y positivo,0.5467,0.2314
Gene Karz;Lesia Karz,Say Yes,21,Intenso y oscuro,-0.1769,-1.8341
Carlos Gardel,Secreto,18,Bailable y positivo,-0.3059,2.0006
The Sleep Diaries,"Someone's Waiting For You (from ""The Rescuers"")",20,Acústico y calmado,-4.0292,0.1808
Goldie;James Davidson;Subjective;Natalie Williams,Crazy (feat. Natalie Williams),19,Intenso y oscuro,0.2978,-0.4071
Los Enanitos Verdes,Y Ahora Te Vas,39,Bailable y positivo,1.4108,0.9579
Alesso;Liam Payne,Midnight (feat. Liam Payne),65,Intenso y oscuro,0.2095,-0.1812
Lulu Santos,Tudo com você - Remasterizado em 2001,40,Bailable y positivo,1.2156,1.5855
Mc IG;Mc Luki;Dj Luizinho MPC;Mc Charmosinho;Mc Neguin da BRC;MC Neguinho BDP,Chucro,44,Bailable y positivo,1.4224,0.6141
Shachina Heggar,Dibbaradindi,46,Bailable y positivo,1.9182,1.5207
Arctic Monkeys,All My Own Stunts,51,Intenso y oscuro,1.1867,-0.6587
Mc PP da VS,Areia Branquinha,48,Bailable y positivo,1.2981,1.4881
Hillsong Young & Free,Sinking Deep,54,Acústico y calmado,-1.7746,0.596
"Sarah, the Illstrumentalist",Mental Field Trip,5,Intenso y oscuro,-0.2429,-0.2101
Frankie Avalon,Venus,31,Acústico y calmado,-1.2223,1.6109
Adarsh Rao,Rahguzar,41,Bailable y positivo,-0.3977,1.0456
The Dø,"Despair, Hangover & Ecstasy",54,Bailable y positivo,1.6486,0.5272
Alif Tree,My Soul,18,Intenso y oscuro,-0.2754,-0.8779
ZAYN,Let Me,68,Intenso y oscuro,-0.6466,-0.3323
Black Eyed Peas,Rock That Body,3,Bailable y positivo,2.2682,-0.0391
Spear Of Destiny,Liberator,23,Intenso y oscuro,0.2975,-1.1632
bloodsimple,Dead Man Walking,54,Intenso y oscuro,1.2361,-1.1886
Mokhov,Midnight Love,12,Acústico y calmado,-0.8922,0.3871
Stevie Wonder,Silver Bells,0,Acústico y calmado,-0.8478,0.5761
Fields Of The Nephilim,Dawnrazor,21,Intenso y oscuro,-0.4385,-0.8496
George Jones,The Race Is On,11,Bailable y positivo,0.1169,1.9724
Obie Hans,Change in the Air,9,Acústico y calmado,-2.6806,0.6163
Meitei,Shinkai,51,Acústico y calmado,-3.4743,0.6753
Dempagumi.Inc,バリ3共和国,21,Intenso y oscuro,1.1015,-0.5271
Asphalt Anton,Morgenrot,26,Intenso y oscuro,1.2457,-0.6237
Julian Sommer,Bunga Bunga,33,Bailable y positivo,1.8029,-0.3805
Porter Robinson,dullscythe,45,Acústico y calmado,-2.2276,-0.2496
TAL,Sans un regard,42,Intenso y oscuro,-0.228,-0.2063
Aaron Smith;Alicia Campbell,Outer Level,31,Bailable y positivo,0.8472,1.5093
Robert Lowe,It's a Small World After All,44,Acústico y calmado,-2.4548,1.4631
Seon,Never Be Alright,68,Acústico y calmado,-0.764,1.7082
Elvis Presley,Hey Jude,56,Acústico y calmado,-1.4656,1.0315
The Po' Ramblin' Boys,Blues Are Close at Hand,22,Bailable y positivo,0.95,0.9706
Marc Romboy,Gangwon,0,Intenso y oscuro,-0.6848,-0.9344
Bahramji;Maneesh de Moor,Return of the Nightingale,32,Acústico y calmado,-1.6358,0.3198
Bang Data,Bang Data,42,Bailable y positivo,1.7773,0.5348
Ekin Cheng,仍能情深愛上,19,Acústico y calmado,-1.1943,-0.0788
Gilberto Santa Rosa;Paquito Guzman,Atrevida (feat. Paquito Guzmán) - En Vivo desde Puerto Rico,28,Bailable y positivo,0.9335,0.1844
PHARAOH;Boulevard Depo,5 минут назад,49,Bailable y positivo,1.7058,1.1373
Alok;Au/Ra,Side Effect (feat. Au/Ra),60,Bailable y positivo,0.9142,0.4726
Libero 5,Sierra Madre,33,Directo y hablado,1.6728,-1.6617
Not Half Bad,"It Really Sucked, Actually",27,Bailable y positivo,0.4849,0.6651
Phyllis Hyman,Living In Confusion,30,Bailable y positivo,0.14,0.6635
Nusrat Fateh Ali Khan,Sanson Ki Mala Pey,44,Acústico y calmado,-0.5301,0.0138
China Anne McClain;Disney,Poor Unfortunate Souls,46,Directo y hablado,0.9233,-2.1652
SLANDER;Kayzo;Dylan Matthew,Without You,46,Bailable y positivo,0.9008,0.3458
Aaren Hughes,Summer Light,62,Acústico y calmado,-3.6416,0.828
GAYLE,indieedgycool,0,Bailable y positivo,1.3608,0.1569
Jo Ann Castle,12Th Street Rag,10,Bailable y positivo,-0.7767,1.3462
Piano Sunday,S.T.A.Y. (From Interstellar),29,Acústico y calmado,-4.3435,-0.3566
Yiruma,Passing By,47,Acústico y calmado,-4.3033,-0.4029
The Jacksons,Torture,55,Bailable y positivo,2.2795,0.632
Gusttavo Lima,Final do Fim - Ao Vivo,50,Bailable y positivo,1.0554,0.3756
Felp 22;Medellin;Sueth,Paranoia,49,Bailable y positivo,-0.2878,1.3126
Danny Cooltmoore;The Great Western Alarm,Raggarbil,27,Bailable y positivo,1.2097,-0.5148
Hypocrisy,A Coming Race,19,Intenso y oscuro,-1.169,-2.9845
Tourneecast 2011;Tourneecast 2012,Wenn ich dein Spiegel wär,20,Acústico y calmado,-2.3441,-0.0746
Rilès,Brothers,58,Bailable y positivo,0.7784,0.6439
Cliff Martinez,Wrong Floor,47,Acústico y calmado,-4.4779,-0.572
Furia,Krew w kolorze bursztynu,17,Intenso y oscuro,-0.9562,-3.128
Carlo Boscoli,Il Colibrì,60,Acústico y calmado,-3.5636,0.7731
Tream;treamiboii,FEEL LIKE - Extended Mix,34,Directo y hablado,1.7135,-0.6063
Sidhu Moose Wala,Malwa Block,63,Directo y hablado,1.401,-1.7373
The Doors,Soul Kitchen,64,Bailable y positivo,0.094,1.403
Juninho Black;Pregador Luo,Soul de Cristo (feat. Pregador Luo),22,Bailable y positivo,1.6858,0.433
Graveyard,Ungrateful Are the Dead,27,Intenso y oscuro,0.4629,-1.1235
Fondo Flamenco,Escuchame Mujer,58,Bailable y positivo,0.7651,0.421
Crazy Ken Band,秋になっちゃった,24,Bailable y positivo,1.7713,0.9684
El Bebeto,Amantes Prohibidos,42,Acústico y calmado,-0.7191,-0.2284
Filip Nordin,Stitches,26,Acústico y calmado,-0.5544,1.1341
Jubiläumscast Wien 2012,"Nichts, nichts, gar nichts (Irrenhausballade)",26,Directo y hablado,-1.8795,-1.3262
Max Enforcer,Gold - 24K Fix,23,Intenso y oscuro,-0.1883,-1.244
Art Popular,Megastar - Ao Vivo,43,Bailable y positivo,0.9128,0.0195
Elton John;Kiki Dee,Don't Go Breaking My Heart,78,Bailable y positivo,1.5684,1.0019
Kenia OS,Tenía Que Llegar,54,Bailable y positivo,0.3303,0.6585
Bass Chaserz;Buren Van De Brandweer;Noise Cartel,Gas Erop,23,Intenso y oscuro,1.0066,-0.3394
Layo & Bushwacka!;Tim Deluxe,Love Story (vs Finally) - Tim Deluxe Radio Mix,52,Intenso y oscuro,1.416,-0.7111
Léo Magalhães,24 Horas,44,Bailable y positivo,0.4201,0.9463
La Bouche,Sweet Dreams,62,Bailable y positivo,1.8521,0.528
Karan Aujla;Gurlez Akhtar,Chitta Kurta,59,Bailable y positivo,1.5567,1.048
Droplex,Dinamo,0,Intenso y oscuro,0.0479,-0.4942
The Beatles,Please Mister Postman - Remastered 2009,56,Bailable y positivo,0.5128,1.0788
Luigi Texidor,Nací Moreno,27,Bailable y positivo,0.5862,0.4938
Carlos Gardel,Bandoneón Arrabalero,18,Acústico y calmado,-0.8023,1.7875
Sierra Hull,The Hard Way,19,Acústico y calmado,-2.1565,0.9294
Almafuerte,Pa' Pelusa - En Vivo All Boys,23,Directo y hablado,0.9391,-2.9885
Groove Armada,Superstylin',18,Bailable y positivo,2.029,0.7344
Big L;2Pac,Deadly Combination (feat. 2Pac),28,Bailable y positivo,1.6018,0.8763
Wolfgang Amadeus Mozart;Ingrid Haebler;Ludwig Hoffmann,"Sonata for Piano 4 Hands in G Major, K. 357: II. Andante",1,Acústico y calmado,-3.6326,0.8877
Bori & Suan,Be för mig,22,Bailable y positivo,1.6896,0.8211
Hedley,Better Days,52,Bailable y positivo,0.1304,0.0379
Bruno Mars;Anderson .Paak;Silk Sonic,Leave the Door Open,1,Bailable y positivo,0.6537,0.8255
Cidade Verde Sounds,Até o Fim,29,Directo y hablado,0.526,-0.1831
Wojciech Brzezinski;Ewa Prus;Otar Saralidze;Julia Totoszko;Jakub Strach;Mateusz Panasiuk;Latarnicy,Rozpal sobie iskrę życia,20,Bailable y positivo,-0.0256,0.5441
Shaver;Billy Joe Shaver,Georgia on a Fast Train,25,Bailable y positivo,1.7422,0.1392
ReoNa,forget-me-not,53,Intenso y oscuro,1.128,-1.1293
Donovan,Catch the Wind,22,Acústico y calmado,-1.0776,0.675
Mini Pop Kids,Never Really Over,9,Intenso y oscuro,0.5937,-0.0232
Unha Pintada,Desculpe Amor,40,Bailable y positivo,0.3652,1.0516
Kranium,Wi Deh Yah,0,Bailable y positivo,1.2784,0.0798
Don Diablo;PnB Rock;Boaz van de Beatz,No Piensa,63,Bailable y positivo,0.8953,-0.0684
Charly García,Nos Siguen Pegando Abajo (Pecado Mortal) - Live,37,Directo y hablado,1.5664,-0.7462
Becky G;KAROL G,MAMIII,81,Bailable y positivo,1.8923,1.4548
boy in skirt;Niisan,Tell Me Why I'm Waiting,53,Acústico y calmado,-2.3705,0.2377
Hotcaller;Nexy,Damn,37,Intenso y oscuro,0.6109,-2.3311
Burzum,Thulean Mysteries,19,Acústico y calmado,-4.7862,-0.8321
Friction,All Nite,22,Intenso y oscuro,0.0177,-1.6414
Esteban Tavares,Segunda-Feira,44,Intenso y oscuro,0.7215,-0.067
The Platters,My Prayer,53,Acústico y calmado,-2.2061,0.6245
David Tao,寂寞的季節,48,Acústico y calmado,-1.9338,1.2634
John Powell,Forbidden Friendship,56,Acústico y calmado,-2.8937,-1.0127
Sonny Fodera,Better,60,Intenso y oscuro,0.6904,-0.7648
Autechre,Second Peng,13,Intenso y oscuro,0.8832,-0.5583
Oval,Lost in Thought,11,Acústico y calmado,-2.8587,0.0113
Sixx:A.M.,Life is Beautiful,62,Intenso y oscuro,0.764,-0.7043
いとうかなこ,Hacking to the Gate - symphonic ver.,47,Acústico y calmado,-1.212,-0.2668
Project AER;v i v,Lunar Cycles,7,Acústico y calmado,-2.9836,1.0142
Sia,Cheap Thrills,78,Bailable y positivo,1.2294,0.5949
Rudimental;Jess Glynne;Macklemore;Dan Caplen,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",69,Bailable y positivo,0.9894,0.351
Phil Wickham,Battle Belongs,51,Intenso y oscuro,0.2054,-1.0175
Phil Lam,難得一遇,45,Acústico y calmado,-1.8693,0.3775
Railbenders,Hard Road,10,Bailable y positivo,1.3278,0.2459
Kip Moore,Hey Pretty Girl,0,Intenso y oscuro,-1.1067,-0.6944
Valen Hsu,獨角戲,51,Acústico y calmado,-2.0604,0.3639
Years & Years,If You're Over Me,0,Bailable y positivo,1.3099,0.2611
We Came As Romans,Holding The Embers,47,Intenso y oscuro,0.72,-1.6162
Coral Vozes Guerreiras,Hoje Vou Pagodear / Seja Mais Você,41,Directo y hablado,0.0429,-1.2249
Alex Ubago,Míranos - Versión acústica,29,Acústico y calmado,-1.0824,0.5897
The Lemonheads,Dawn Can't Decide,25,Intenso y oscuro,0.8691,-1.221
Albin Johnsén,Behåll dina skor på - Akustisk version,34,Acústico y calmado,-0.9731,2.0612
Jon Cutler;E-Man,It's Yours (feat. E-Man) - Distant Music Mix,30,Bailable y positivo,1.8807,0.9189
Sissel,"Vestland, Vestland",21,Acústico y calmado,-2.3042,1.4321
Spiritbox,Rule Of Nines,55,Intenso y oscuro,0.36,-2.2331
A Day To Remember,"The Plot To Bomb The Panhandle - Live At The Capitol / Ocala, FL / January 5, 2008",26,Directo y hablado,0.9468,-2.3854
Liedfett,Plastik (#keinschlaflieder),34,Bailable y positivo,1.6338,-0.6624
Ralphi Rosario,Take Me Up,18,Bailable y positivo,1.603,1.2446
Felipe Vilela,Uma História / Live Session,24,Bailable y positivo,1.5251,0.9651
JPEGMAFIA,DIKEMBE!,50,Intenso y oscuro,1.3741,-1.1766
Kathleen Madigan,Politics,21,Directo y hablado,0.2807,-1.2398
Vishal Mishra,Teri Hogaiyaan,69,Acústico y calmado,-1.3053,0.9073
Santesh,Jiwang,31,Bailable y positivo,1.783,-0.2151
SiM,Devil in Your Heart,49,Bailable y positivo,1.6389,0.0268
Barış Manço,Seher Vakti,30,Bailable y positivo,0.8837,0.3079
Rahi,Jhoome,35,Acústico y calmado,-1.3044,-0.0462
Nikolay Kopylov,Only Once,0,Acústico y calmado,-2.2278,1.0439
Barilari,Egoman,19,Intenso y oscuro,0.7226,-0.9764
Nature Sounds,Beach Rain,0,Intenso y oscuro,-1.6214,-2.935
keshi,ANGOSTURA,67,Intenso y oscuro,-0.503,-0.0823
MC Mazzie;Mc Rd;DJ NpcSize;DJ Wizard,Ele Te Bota Soca Soca,75,Bailable y positivo,1.8441,1.3126
Twisted Sister,I Wanna Rock,73,Bailable y positivo,1.463,-0.7644
Sujatha,Rathriyil,22,Bailable y positivo,0.0012,-0.0513
Finger Eleven,Living In A Dream,59,Bailable y positivo,1.5498,-0.3929
Man Is The Bastard,H.S.M.P.,18,Intenso y oscuro,0.6343,-1.8494
Jay Chou,夜曲,59,Bailable y positivo,0.6119,0.5859
Shaman's Harvest,Off The Tracks,26,Intenso y oscuro,1.3496,-0.6704
櫻坂46,Microscope,37,Bailable y positivo,0.8986,0.1941
Maurice Ravel;Duo Synopsis,"Sonata for Violin and Cello in C Major, M. 73: III. Lent",0,Acústico y calmado,-4.334,-0.3274
Jürgen Paape,So Weit Wie Noch Nie,49,Intenso y oscuro,0.565,0.023
Ichika Nito,Ice,42,Acústico y calmado,-3.0524,1.01
Malon,Cicatrizando - Remasterizado,24,Intenso y oscuro,0.8915,-1.1408
Zedd;Foxes,Clarity,0,Intenso y oscuro,0.1873,-0.7562
longlost,I Hate Everything About You,54,Intenso y oscuro,-0.9221,-0.6729
Creep Hyp,憂、燦々,31,Bailable y positivo,1.486,0.4456
Yuri Buenaventura,Salsa Dura,0,Bailable y positivo,1.0621,2.1325
The Temptations,The Little Drummer Boy,0,Bailable y positivo,-0.3875,0.7844
Weekend Nachos,Shot in the Head,20,Intenso y oscuro,-0.1084,-2.9089
Roberto Goyeneche;Atilio Stampone y su Orquesta Tipica,Afiches (with Atilio Stampone y su Orquesta Tipica),27,Acústico y calmado,-2.0092,0.8792
Anthony Shakir,Travellers - MRSK Remix,5,Bailable y positivo,1.7881,-0.2151
Lonely in the Rain;De Rien,Hangin Up,59,Acústico y calmado,-0.8843,0.6605
Sade,Smooth Operator,56,Bailable y positivo,1.0856,2.2342
ShaSings;Xtreeemit,Let Me Down Slowly / Mai Dhoondhne Ko Zamaney / Kabhi Jo Badal Barsey (Medley),71,Bailable y positivo,-0.4351,0.9812
Lizzo;Purple Disco Machine,About Damn Time - Purple Disco Machine Remix,5,Bailable y positivo,2.1109,0.9162
Robert Hood,Shaker,5,Intenso y oscuro,-0.7018,-1.4593
Armandinho,Acordar Cedo,43,Bailable y positivo,-0.3009,0.5652
Bob Luman,Let's Think About Living,29,Bailable y positivo,0.6724,1.0811
Mike Birbiglia,The Guitar Guy at the Party,21,Directo y hablado,0.3528,-0.9559
Jimmy Eat World,Last Christmas,0,Bailable y positivo,1.4061,-0.4014
Sachin Warrier,Vaathil Melle,51,Bailable y positivo,0.4744,0.7578
Julio Sosa,Volvio una Noche,19,Acústico y calmado,-0.8722,1.3087
Ann Sweeten,Shepherd Me,24,Acústico y calmado,-3.9561,-0.0404
Liquid Soul;Inner Sphere,Revolution - Inner Sphere Remix,4,Directo y hablado,0.6615,-2.1944
Biquini Cavadão,Janaína,47,Bailable y positivo,1.3304,0.2441
Duke Dumont;Ebenezer,Inhale,54,Bailable y positivo,1.2524,0.3791
Yida Huang,那女孩對我說,51,Acústico y calmado,-0.9998,1.0937
Toneshifterz,We Are The Future - Original Edit,21,Intenso y oscuro,1.2327,-1.3577
Everything But The Girl,Fascination - 2012 Remaster,26,Acústico y calmado,-2.1851,0.9886
Alessia Cara,Make It To Christmas,0,Intenso y oscuro,-0.054,-0.6869
Trampled by Turtles,I Went to Hollywood,29,Bailable y positivo,0.3134,-0.1413
Golden Ganga,La Gloria Eres Tú,45,Bailable y positivo,0.4827,1.4945
Hiphop Tamizha;Christopher Stanley;Sudarshan Ashok;Srinisha Jayaseelan,"Vilambara Idaiveli - From ""Imaikkaa Nodigal""",61,Bailable y positivo,1.0009,0.2701
Beave,Take Me Back,57,Bailable y positivo,0.6599,0.6142
Ata Ebtekar,Nashid,0,Directo y hablado,-0.2254,-2.9402
Jay Reeve;Piqo,Back Up Again,25,Intenso y oscuro,0.7597,-0.8486
Iguinho e Lulinha,Voltar pro Meu Sertão,43,Bailable y positivo,0.2854,-0.0554
Nogizaka46,日常,23,Intenso y oscuro,0.6166,-2.0255
XXXTENTACION;PnB Rock,SMASH! - feat. PnB Rock,58,Bailable y positivo,1.4127,0.7828
Bruno & Marrone,Você Me Vira a Cabeça (Me Tira do Sério) - Ao Vivo,46,Directo y hablado,0.839,-0.9092
Theo Parrish,Serengeti Echoes,10,Intenso y oscuro,-1.1582,-0.3092
Proem,Place Gun to Head,14,Acústico y calmado,-2.0761,0.49
The Prophet,CLTR SHCK,16,Directo y hablado,1.3882,-2.3263
Whitesnake,Is This Love - 2018 Remaster,69,Intenso y oscuro,0.0468,-1.249
Aaron Kwok,I WANNA HOLD YOU FOREVER,19,Acústico y calmado,-0.9177,0.5247
Cyclo,Hijos de la Noche,33,Bailable y positivo,0.536,1.3329
Alesso;CORSAK,Going Dumb,65,Bailable y positivo,0.9862,0.7527
tstewart;Machinedrum,josephine,12,Acústico y calmado,-2.6064,-0.3369
The Infamous Stringdusters,If You're Gonna Love Someone,23,Bailable y positivo,0.7721,-0.087
Carl & Pearl Butler,Don't Let Me Cross Over,10,Acústico y calmado,-1.5345,1.3264
Masayuki Suzuki;伊原六花,ラブ・ドラマティック,57,Bailable y positivo,1.3233,0.6535
Os Travessos,Maravilha Te Amar,51,Bailable y positivo,1.5984,0.858
Alejandro Escovedo,Bottom Of The World,24,Bailable y positivo,1.2228,0.9678
DaBaby,BOP,0,Bailable y positivo,2.1055,0.7667
"Spa;Sounds Of Nature : Thunderstorm, Rain;White Noise Meditation",Calming Heavy Distant Rain,32,Acústico y calmado,-2.5999,-1.9188
Turma do Pagode,A Gente Já Não Rola - Ao Vivo,46,Bailable y positivo,0.6885,1.0084
Maneli Jamal,Beauty of Flow,28,Acústico y calmado,-2.5579,1.0616
Ichika Nito,Nothing is lost,41,Acústico y calmado,-2.7958,0.8667
Sega Bodega,I Need Nothing From You,41,Acústico y calmado,-1.8823,1.0261
Roshan Sebastian;Sebastian Sathish;Adithya Gopi,Mandram Vantha,46,Acústico y calmado,-2.1068,1.5257
Shonan No Kaze,Grand Blue,50,Bailable y positivo,1.6706,-0.589
Matheus & Kauan,Sinal De Fumaça - Ao Vivo,45,Directo y hablado,1.1992,-2.1885
WEDNESDAY CAMPANELLA,Tinker Bell,28,Bailable y positivo,1.4781,0.5129
Parham,Oysters,23,Bailable y positivo,0.4095,0.2741
Evan Call,Across the Violet Sky,46,Acústico y calmado,-3.6501,-0.0715
Miró,Paso Al Aire,37,Intenso y oscuro,0.1359,-0.2012
Lou Rawls,Christmas Will Really Be Christmas,0,Acústico y calmado,-0.8163,0.8907
Ankur Tewari;The Ghalat Family,Dil Haare,38,Bailable y positivo,0.1889,0.4013
Love to Sing,Jingle Bells,35,Bailable y positivo,1.0116,1.867
ILLENIUM;Natalie Taylor;Last Heroes,Fragments - Last Heroes Remix,45,Intenso y oscuro,1.0503,-1.4333
Ministry,Same Old Madness,22,Bailable y positivo,1.9452,0.6608
Sujatha,Vasantharavin Kilivathil,26,Bailable y positivo,-0.0613,1.6683
Sérgio Reis,Comitiva Esperança,44,Acústico y calmado,-1.4275,1.2233
Vigiland,UFO - Trap Edit,55,Bailable y positivo,0.5658,0.4339
Vowe,Frio,33,Bailable y positivo,1.3685,-0.2256
Cesare Cremonini,Buon Viaggio (Share The Love),0,Directo y hablado,0.7408,-0.8686
Christopher Titus,I Killed a Baby,22,Directo y hablado,1.2981,-2.6556
Shannon & The Clams,Love Strike,27,Directo y hablado,0.3364,-2.4304
Marduk,Woman of Dark Desires,17,Intenso y oscuro,-0.1305,-2.7157
