artists,track_name,popularity,profile,pca_1,pca_2
Patricio Rey y sus Redonditos de Ricota,Alien Duce,38,Bailable y positivo,1.4138,0.4483
Patton Oswalt,The Spirit Cave,22,Directo y hablado,1.8658,-1.995
Graveyard Train,The End of The World,23,Directo y hablado,-0.1759,-0.9953
Propaganda,The Chase,24,Bailable y positivo,0.4287,0.0123
Fiona Sit,男孩像你,40,Bailable y positivo,-0.0429,0.881
Tim McGraw,7500 OBO,3,Intenso y oscuro,0.6386,-0.4001
Gülşen,Gözü Karalım,41,Bailable y positivo,-0.058,0.5546
Marshmello;Jonas Brothers,Leave Before You Love Me,0,Bailable y positivo,1.3764,0.6243
Jefferson Airplane,White Rabbit,72,Acústico y calmado,-1.1863,0.9017
Cuco Sánchez,Hasta Luego,22,Acústico y calmado,-1.3412,0.9773
Linkin Park,Iridescent (Version 2),35,Intenso y oscuro,0.3979,-0.0118
Vrinda Shameek;Harib Hussain,Kanneeril,31,Acústico y calmado,-1.8885,0.7323
Korol i Shut,Дурак и молния,55,Bailable y positivo,0.9881,-0.7106
Viva La Panda;Next to Neon,With Or Without You,40,Intenso y oscuro,0.3113,-0.2477
Divino Niño,I Am Nobody,25,Intenso y oscuro,0.3137,-0.9428
Ray Price,For the Good Times,47,Acústico y calmado,-1.7099,0.6195
The Growlers,Going Gets Tough,62,Bailable y positivo,0.7687,0.3959
KALEO,Way Down We Go,0,Acústico y calmado,-0.8304,0.383
Carly Lyman;Jason Lux,(I Just) Died In Your Arms - Acoustic,47,Acústico y calmado,-1.4213,2.0633
Del The Funky Homosapien,Dr. Bombay - Remix,0,Bailable y positivo,2.0689,0.4188
Stephy Tang,電燈膽,46,Acústico y calmado,-0.5989,1.2174
Phil Wickham,You're Beautiful,26,Intenso y oscuro,-0.8371,-0.914
AP Dhillon,Top Boy,63,Bailable y positivo,1.0883,1.1987
Upon A Burning Body,Mimic,24,Intenso y oscuro,0.7388,-2.2424
Atta Isaacs,Sweet Lei Lehua - Bonus Track,22,Acústico y calmado,-1.6129,0.887
Kaua Correia,Duende,64,Acústico y calmado,-4.7638,-0.6084
Pablo,Mega Sena,41,Bailable y positivo,0.2943,0.9606
Patricio Rey y sus Redonditos de Ricota,La Murga de la Virgencita,44,Intenso y oscuro,1.3184,-0.6932
Pinkfong,Tiburón Bebé Truco o Trato,21,Bailable y positivo,1.8625,2.1645
Gillian Welch,My First Lover,29,Acústico y calmado,-0.736,1.5501
KAROL G,SEJODIOTO,0,Bailable y positivo,1.5489,1.0839
Little People,Carefully,44,Bailable y positivo,0.1247,0.9251
Emílio Santiago;Alcione,Flor De Lis - Ao Vivo,44,Directo y hablado,1.4881,-1.4683
Spuntic,Outlying,0,Acústico y calmado,-1.825,-0.6708
Stephen Sanchez,I Want You,60,Acústico y calmado,-1.8497,0.9026
LIT killah,Una Vez Mas,43,Bailable y positivo,0.2444,1.1296
Hillsong Young & Free,Need Your Love - Live,42,Directo y hablado,1.1681,-1.6543
Shiritsu Ebisu Chugaku,夏だぜジョニー,17,Bailable y positivo,1.6768,0.1796
Ícaro e Gilmar,Indícios de Bebida (Ao Vivo),48,Directo y hablado,0.6223,-1.4544
The Kentucky Colonels,Shuckin' The Corn,26,Directo y hablado,-0.0931,-2.254
Arctic Monkeys,This House is a Circus,60,Intenso y oscuro,1.1644,-0.5417
Balancear,Depois da Seis,37,Bailable y positivo,0.9737,0.1922
Manoella Torres,Que Me Perdone Tu Señora,46,Bailable y positivo,0.1529,1.0318
Astor Piazzolla,Citè tango,18,Acústico y calmado,-2.2051,0.5548
Terrence Parker,It's Sheryl Amazing,8,Bailable y positivo,2.0,1.1662
Hank Williams;Drifting Cowboys,Alone And Forsaken,50,Acústico y calmado,-1.93,1.5711
Teemu Roivainen,Andalusia,18,Directo y hablado,0.6224,-1.5736
Mavado;Di Genius;Stacious,Come Into My Room,51,Bailable y positivo,0.7289,0.111
Miranda!,Bailarina,42,Bailable y positivo,2.0643,0.3377
Joe Satriani,Summer Song,49,Intenso y oscuro,-0.2505,-1.5079
Nat King Cole,O Come All Ye Faithful - Remastered 1999,0,Acústico y calmado,-2.2826,-0.228
Napalm Death,If The Truth Be Known,14,Intenso y oscuro,-0.3034,-2.4347
Leandro Borges;Vanilda Bordieri,Cresça,47,Intenso y oscuro,0.3109,-0.0718
Upchurch,Blow My Smoke,41,Directo y hablado,1.4638,-1.9665
Morcheeba,Sounds Of Blue,47,Acústico y calmado,-0.7855,0.5122
Lizzo,2 Be Loved (Am I Ready),0,Bailable y positivo,1.8147,1.1313
KMFDM,Beast,27,Intenso y oscuro,0.4237,-1.1086
RÜFÜS DU SOL,Treat You Better,0,Intenso y oscuro,-0.5853,0.2366
Владимир Бунчиков,Первомайская,0,Directo y hablado,-0.2341,0.4249
Sajanka;Barsha,Frozen,26,Intenso y oscuro,-0.5244,-1.5094
Retrospect,Soul Of The Beat,19,Intenso y oscuro,0.783,-1.3054
The Rolling Stones,"Paint It, Black",80,Intenso y oscuro,1.0377,-0.8611
Breakestra,Get It Right,21,Bailable y positivo,2.2101,0.4191
Mike Der Bademeister;Die Spassrebellen,Zurück zu dir (Hallo Klaus) - Party Mix,26,Bailable y positivo,2.139,0.3705
Helen Sjöholm,Aldrig ska jag sluta älska dig,36,Intenso y oscuro,-0.6438,0.0662
Gangrena Gasosa,Headboomer,26,Intenso y oscuro,1.6303,-1.1343
Eno,90x180,71,Bailable y positivo,0.5459,1.5235
Sujatha;Malaysia Vasudevan;A.R. Rahman,"Poo Pookum Oosai (From ""Minsara Kanavu"")",47,Bailable y positivo,1.3795,1.3299
Kyle Edwards;DJ Bake,Dance for You (Jersey Club),23,Bailable y positivo,1.7737,1.0097
Job Kurian;Neha Nair,"Melle Kollum - From ""22 Female Kottayam""",30,Bailable y positivo,-0.3948,0.6252
Mainstreet;Azevedo;PL Quest;Orochi;Shenlong;Kizzy,Assault (Quarentena),43,Intenso y oscuro,-0.3421,-0.109
Colyn;Maurits Colijn,Bridges In The Sky (feat. Maurits Colijn),44,Bailable y positivo,0.3009,0.1735
Lexaunculpt,Has Been Trying Not To Wonder,10,Acústico y calmado,-1.5792,-0.1683
DJ Rolando,Knights of the Jaguar,38,Bailable y positivo,0.9431,-0.2831
ONE OK ROCK,Save Yourself,1,Bailable y positivo,1.3065,0.1264
Justo Betancourt,Sigo Bravo,27,Bailable y positivo,0.3263,1.6472
Gruzja,Legion,25,Directo y hablado,0.582,-2.7275
Fousheé,Deep End,69,Bailable y positivo,0.0966,1.1416
Adele,Turning Tables,68,Acústico y calmado,-2.0967,0.3411
